trip_id,route_id,direction_id,start_time,start_date,schedule_relationship,train_id,is_assigned,direction,stop_sequence,stop_id,arrival_delay,arrival_time,arrival_uncertainty,departure_delay,departure_time,departure_uncertainty,schedule_relationship_update,scheduled_track,actual_track,timestamp
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,132S,0,1503268971,0,0,1503268971,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,133S,0,1503269061,0,0,1503269061,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,134S,0,1503269151,0,0,1503269151,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,135S,0,1503269241,0,0,1503269241,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,136S,0,1503269301,0,0,1503269301,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,137S,0,1503269391,0,0,1503269481,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,138S,0,1503269571,0,0,1503269571,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,139S,0,1503269661,0,0,1503269661,0,0,1,,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0,142S,0,1503269781,0,0,0,0,0,1,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,129N,0,1503267667,0,0,1503267667,0,0,4,4,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,128N,0,1503267757,0,0,1503267757,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,127N,0,1503267847,0,0,1503267847,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,126N,0,1503267967,0,0,1503267967,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,125N,0,1503268087,0,0,1503268087,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,124N,0,1503268177,0,0,1503268177,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,123N,0,1503268237,0,0,1503268237,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,122N,0,1503268357,0,0,1503268357,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,121N,0,1503268417,0,0,1503268417,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,120N,0,1503268537,0,0,1503268537,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,119N,0,1503268627,0,0,1503268627,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,118N,0,1503268717,0,0,1503268717,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,117N,0,1503268777,0,0,1503268777,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,116N,0,1503268927,0,0,1503268927,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,115N,0,1503269047,0,0,1503269047,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,114N,0,1503269137,0,0,1503269137,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,113N,0,1503269257,0,0,1503269257,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,112N,0,1503269347,0,0,1503269347,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,111N,0,1503269467,0,0,1503269467,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,110N,0,1503269557,0,0,1503269557,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,109N,0,1503269617,0,0,1503269617,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,108N,0,1503269707,0,0,1503269707,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,107N,0,1503269797,0,0,1503269797,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,106N,0,1503269887,0,0,1503269887,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,104N,0,1503269977,0,0,1503269977,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,103N,0,1503270067,0,0,1503270187,0,0,4,,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0,101N,0,1503270277,0,0,0,0,0,4,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,113S,0,1503267608,0,0,1503267608,0,0,1,1,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,114S,0,1503267728,0,0,1503267728,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,115S,0,1503267818,0,0,1503267818,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,116S,0,1503267908,0,0,1503267908,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,117S,0,1503268058,0,0,1503268058,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,118S,0,1503268118,0,0,1503268118,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,119S,0,1503268178,0,0,1503268178,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,120S,0,1503268298,0,0,1503268298,0,0,1,,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0,121S,0,1503268418,0,0,1503268418,0,0,1,,0
